organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Angus,VAN 1,VAN 1M1WK1,WELLBANK,by PS,"by PS, WELLBANK",,-2.857543774328536,56.52136238596283,Monday,09:30:00Z,10:45:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1M2WK1,WELLBANK,GAGIEBANK,"GAGIEBANK, WELLBANK",,-2.8625770349267934,56.52041113868152,Monday,10:50:00Z,11:05:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1M3WK1,,WELLBANK  HALL,WELLBANK  HALL,,-2.8628612274339544,56.522188059159866,Monday,11:10:00Z,11:25:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1M4WK1,MONIKIE,BROOMWELL GDNS,"BROOMWELL GDNS, MONIKIE",,-2.818829757295615,56.538783541622465,Monday,12:10:00Z,12:30:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1M5WK1,MONIKIE,SHOP,"SHOP, MONIKIE",,-2.8150273842241185,56.53815269041239,Monday,12:35:00Z,12:50:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1M6WK1,,CRAIGTON OF MONIKIE,CRAIGTON OF MONIKIE,,-2.798260515088834,56.533419034913,Monday,12:55:00Z,13:15:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1M7WK1,NEWBIGGING,PITAIRLIE RD,"PITAIRLIE RD, NEWBIGGING",,-2.8171115473211814,56.51487873919397,Monday,13:25:00Z,13:55:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1M8WK1,NEWBIGGING,TEMPLEHALL PL,"TEMPLEHALL PL, NEWBIGGING",,-2.817902513317365,56.5161403171573,Monday,14:00:00Z,14:20:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1M9WK1,,BURNSIDE OF DUNTRUNE,BURNSIDE OF DUNTRUNE,,-2.9120833199578713,56.502097749482516,Monday,14:45:00Z,15:05:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1M10WK1,STRATHMARTINE,ASHTON TCE,"ASHTON TCE, STRATHMARTINE",,-2.9972775835688177,56.50157760926657,Monday,15:25:00Z,15:55:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1M11WK1,BALLUMBIE ,OAK LOAN,"OAK LOAN, BALLUMBIE ",,-2.903364898641495,56.498909127304486,Monday,16:15:00Z,16:40:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1M12WK1,BALLUMBIE ,SILVER BIRCH DR,"SILVER BIRCH DR, BALLUMBIE ",,-2.8996791208267254,56.49760619589329,Monday,16:45:00Z,17:10:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1M13WK1,BALLUMBIE,POPLAR DR,"POPLAR DR, BALLUMBIE",,-2.89167117969744,56.49484285970075,Monday,17:15:00Z,17:45:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-04,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1TU1WK1,,KINGSMUIR,KINGSMUIR,,-2.8536850294388256,56.63372771892984,Tuesday,09:10:00Z,09:30:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1TU2WK1,,CRAICHIE,CRAICHIE,,-2.810391136388421,56.61489899746792,Tuesday,09:35:00Z,09:50:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1TU3WK1,LETHAM, WEST HEMMING ST," WEST HEMMING ST, LETHAM",,-2.7737612961465063,56.62835681296601,Tuesday,10:00:00Z,10:50:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1TU4WK1,,DUNNICHEN,DUNNICHEN,,-2.8014638300741703,56.62804669130815,Tuesday,10:55:00Z,11:15:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1TU5WK1,,BOWRIEFAULD,BOWRIEFAULD,,-2.7899719818515254,56.62176842480385,Tuesday,11:20:00Z,11:45:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1TU6WK1,CARMYLLIE,REDFORD,"REDFORD, CARMYLLIE",,-2.7154140288147,56.58725350698078,Tuesday,12:30:00Z,13:10:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1TU7WK1,BARRY,MAIN STREET,"MAIN STREET, BARRY",,-2.755822616168404,56.49899633889004,Tuesday,13:50:00Z,14:20:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1TU8WK1,,EASTHAVEN,EASTHAVEN,,-2.667553572978644,56.516554180443066,Tuesday,14:40:00Z,15:10:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1TU9WK1,,MUIRDRUM,MUIRDRUM,,-2.7116512874381433,56.525643924871275,Tuesday,15:25:00Z,15:55:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1TU10WK1,,GRAHAMSTON,GRAHAMSTON,,-2.6500328921398184,56.55060709714566,Tuesday,16:10:00Z,16:35:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1TU11WK1,,ARBIRLOT,ARBIRLOT,,-2.649661543442618,56.55551435531476,Tuesday,16:45:00Z,17:10:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
Angus,VAN 1,VAN 1TU12WK1,,GUTHRIE,GUTHRIE,,-2.707764626494835,56.644004596645125,Tuesday,17:30:00Z,18:00:00Z,FREQ=WEEKLY;INTERVAL=2,2019-03-05,,http://www.angus.gov.uk/sites/angus-cms/files/2019-03/Mobile%20Library%20Route%20Timetable%20Mar%20-%20May%202019.pdf
