organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Angus,Edinburgh,Tuesday,,Alnwickhill Park,"
1-4 Alnwickhill Park
                        ","
1-4 Alnwickhill Park
                        ",-3.168302,55.906029,Tuesday,4.00,4.30,FREQ=WEEKLY,2019-04-09,,https://www.edinburgh.gov.uk//directory_record/9827/alnwickhill_park
Angus,Edinburgh,Wednesday,,Baberton Mains Drive,"
280 Baberton Mains Drive
                        ","
280 Baberton Mains Drive
                        ",-3.284587,55.908267,Wednesday,3.10,3.20,FREQ=WEEKLY,2019-04-10,,https://www.edinburgh.gov.uk//directory_record/9861/baberton_mains_drive
Angus,Edinburgh,Tuesday,,Barntongate Avenue (22),"
22 Barntongate Avenue
                        ","
22 Barntongate Avenue
                        ",-3.3036600349805667,55.959333935902144,Tuesday,1.30,2.00,FREQ=WEEKLY,2019-04-09,,https://www.edinburgh.gov.uk//directory_record/168434/barntongate_avenue_22
Angus,Edinburgh,Monday,,Bellenden Gardens,"
8 Bellenden Gardens
                        ","
8 Bellenden Gardens
                        ",-3.1524013154830755,55.922101208527366,Monday,,2.15,FREQ=WEEKLY,2019-04-08,,https://www.edinburgh.gov.uk//directory_record/9799/bellenden_gardens
Angus,Edinburgh,Friday,,Bingham Avenue,"
28 Bingham Avenue
                        ","
28 Bingham Avenue
                        ",-3.123501,55.939332,Friday,,11.15,FREQ=WEEKLY,2019-04-12,,https://www.edinburgh.gov.uk//directory_record/9831/bingham_avenue
Angus,Edinburgh,Wednesday,,Bonnington Village,"
4 Bonnington Village
                        ","
4 Bonnington Village
                        ",-3.4090457673339642,55.90953524185544,Wednesday,4.15,4.30,FREQ=WEEKLY,2019-04-10,,https://www.edinburgh.gov.uk//directory_record/9863/bonnington_village
Angus,Edinburgh,Friday,,"Braidwood House, Dumbiedykes","
4 Bonnington Village
                        ","
EH8 9UT
                        ",-3.177829,55.948529,Friday,,12.00,FREQ=WEEKLY,2019-04-12,,https://www.edinburgh.gov.uk//directory_record/9832/braidwood_house_dumbiedykes
Angus,Edinburgh,Friday,,Buckstone Circle,"
30 - 32 Buckstone Circle
                        ","
30 - 32 Buckstone Circle
                        ",-3.197507,55.903322,Friday,2.50,3.30,FREQ=WEEKLY,2019-04-12,,https://www.edinburgh.gov.uk//directory_record/9835/buckstone_circle
Angus,Edinburgh,Wednesday,,Calder Park,"
1 Calder Park
                        ","
1 Calder Park
                        ",-3.2944880859832892,55.919989363505714,Wednesday,3.30,3.50,FREQ=WEEKLY,2019-04-10,,https://www.edinburgh.gov.uk//directory_record/9862/calder_park
Angus,Edinburgh,Friday,,Cameron Toll Shopping Centre,"
Cameron Toll Shopping Centre
                        ","
Cameron Toll Shopping Centre
                        ",-3.1646572349927737,55.9256507726428,Friday,1.30,2.30,FREQ=WEEKLY,2019-04-12,,https://www.edinburgh.gov.uk//directory_record/168441/cameron_toll_shopping_centre
Angus,Edinburgh,Thursday,,Cammo Gardens,"
8-10 Cammo Gardens
                        ","
8-10 Cammo Gardens
                        ",-3.3079025742335944,55.959785369028154,Thursday,3.20,3.45,FREQ=WEEKLY,2019-04-11,,https://www.edinburgh.gov.uk//directory_record/168442/cammo_gardens
Angus,Edinburgh,Thursday,,Cammo Grove,"
22-30 or 8 Cammo Grove
                        ","
22-30 or 8 Cammo Grove
                        ",-3.316039083328178,55.95840449220196,Thursday,2.45,3.15,FREQ=WEEKLY,2019-04-11,,https://www.edinburgh.gov.uk//directory_record/9822/cammo_grove
Angus,Edinburgh,Tuesday,,Camus Avenue,"
22 Camus Avenue
                        ","
22 Camus Avenue
                        ",-3.210052,55.90656,Tuesday,2.00,2.30,FREQ=WEEKLY,2019-04-09,,https://www.edinburgh.gov.uk//directory_record/9823/camus_avenue
