organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,type,arrival,departure,frequency,start,end,exceptions,timetable
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Culford,Village Hall,"Village Hall, Culford",,0.6981171954101104,52.31958655,Tuesday,Public,11:00,11:30,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Culford,Glendale,"Glendale, Culford",,,,Tuesday,Public,11:35,11:55,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Fornham All Saints,Thingoe Lodge,"Thingoe Lodge, Fornham All Saints",,0.7117117,52.2550637,Tuesday,Public,12:35,12:55,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Fornham All Saints,Church,"Church, Fornham All Saints",,0.6906814,52.2735585,Tuesday,Public,13:00,13:20,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Fornham St Martin,Lark Valley Drive,"Lark Valley Drive, Fornham St Martin",,0.7075198,52.2724794,Tuesday,Public,12:00,12:30,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Great Barton,Oakhampton House,"Oakhampton House, Great Barton",,0.770001,52.2709279,Tuesday,Public,10:00,10:20,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Great Barton,School Road,"School Road, Great Barton",,0.7705562,52.2738195,Tuesday,Public,10:25,10:50,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Pakenham,Meadow View,"Meadow View, Pakenham",,0.824077,52.2708828,Tuesday,Public,09:15,09:30,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Pakenham,Manor Garth,"Manor Garth, Pakenham",,0.8178242,52.2719429,Tuesday,Public,09:35,09:50,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Risby,Village Hall,"Village Hall, Risby",,,,Tuesday,Public,14:10,14:40,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Risby,The Green,"The Green, Risby",,0.6305626,52.2688973,Tuesday,Public,14:45,15:30,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 10,Barrow,Sharpe’s Hill,"Sharpe’s Hill, Barrow",,0.5945512,52.2460307,Tuesday,Public,09:35,09:55,FREQ=WEEKLY;INTERVAL=4,2020-03-17,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-10/
