Vehicle,Route,B,Day,StopNo,MainLocation,SecondaryLocation,Postcode,Freq,Easting,Northing,Arrive,Depart,stop duration,Stop Time,Stop Time (dec),Travel time
CMOB,C2,1st,Tuesday,1,Horningsea,High Street,CB25 9JG,monthly,549269.61,262280.3,10:00:00,10:50:00,00:50:00,00:50:00,0.83,01:00:00
CMOB,C2,1st,Tuesday,2,Fen Ditton,Wrights Close,CB5 8SY,monthly,548300.06,260896.35,11:00:00,11:15:00,00:15:00,00:15:00,0.25,00:10:00
CMOB,C2,1st,Tuesday,3,Six Mile Bottom,Delamere Close,CB8 0UN,monthly,557852.61,256909.87,11:35:00,12:00:00,00:25:00,00:25:00,0.42,00:20:00
CMOB,C2,1st,Tuesday,4,West Wratting,High Street,CB21 5LU,monthly,560465.56,252265.92,12:15:00,12:45:00,00:30:00,00:30:00,0.50,00:15:00
CMOB,C2,1st,Tuesday,5,Weston Green,Post Office,CB21 5NT,monthly,562704.56,252215.78,13:50:00,14:15:00,00:25:00,00:25:00,0.42,01:05:00
CMOB,C2,1st,Tuesday,6,Weston Colville,Mill Hill,CB21 5NY,monthly,562024.85,252915.45,14:20:00,14:50:00,00:30:00,00:30:00,0.50,00:05:00
CMOB,C2,1st,Tuesday,7,Brinkley,High Street,CB8 0SF,monthly,563080.36,254670.2,15:00:00,16:00:00,01:00:00,01:00:00,1.00,00:10:00
CMOB,C3,1st,Wednesday,1,Newnham,Pinehurst/Grange Road,CB3 9BH,monthly,543765.98,257932.17,09:30:00,10:15:00,00:45:00,00:45:00,0.75,17:30:00
CMOB,C3,1st,Wednesday,2,Newnham,Larchfield/Gough Way,CB3 9LR,monthly,543504.44,257731.42,10:25:00,11:00:00,00:35:00,00:35:00,0.58,00:10:00
CMOB,C3,1st,Wednesday,3,Newton,The Green,CB22 7PA,monthly,543766.67,249490.09,11:25:00,12:00:00,00:35:00,00:35:00,0.58,00:25:00
CMOB,C3,1st,Wednesday,4,Thriplow,Middle Street / School Lane,SG8 7RH,monthly,543780.14,246684.12,12:10:00,12:35:00,00:25:00,00:25:00,0.42,00:10:00
CMOB,C3,1st,Wednesday,5,Thriplow,Sheralds Croft Lane,SG8 7RB,monthly,543394.95,246624.4,12:40:00,13:00:00,00:20:00,00:20:00,0.33,00:05:00
CMOB,C3,1st,Wednesday,6,Great Chishill,The Church,SG8 8SR,monthly,542301.02,238883.71,14:10:00,14:40:00,00:30:00,00:30:00,0.50,01:10:00
CMOB,C3,1st,Wednesday,7,Heydon,Fowlmere Road,SG8 8PZ,monthly,543096.25,240351.64,14:45:00,15:15:00,00:30:00,00:30:00,0.50,00:05:00
CMOB,C3,1st,Wednesday,8,Fowlmere,High Street,SG8 7SR,monthly,542250.28,245859.14,15:30:00,16:10:00,00:40:00,00:40:00,0.67,00:15:00
CMOB,C4,1st,Thursday,1,Harlton,Bolton Way,CB23 1EZ,monthly,538489.02,252415.11,10:00:00,10:20:00,00:20:00,00:20:00,0.33,17:50:00
CMOB,C4,1st,Thursday,2,Harlton,Lay-by,CB23 1ER,monthly,539103.61,252435.97,10:25:00,11:00:00,00:35:00,00:35:00,0.58,00:05:00
CMOB,C4,1st,Thursday,3,Haslingfield,The Meadows,CB23 1JD,monthly,540648,252429,11:10:00,11:40:00,00:30:00,00:30:00,0.50,00:10:00
CMOB,C4,1st,Thursday,4,Haslingfield,Methodist Church,CB23 1JW,monthly,540518.53,252172.94,11:45:00,12:20:00,00:35:00,00:35:00,0.58,00:05:00
CMOB,C4,1st,Thursday,5,Harston,The Limes,CB22 7QT,monthly,542701,251039.96,13:20:00,13:40:00,00:20:00,00:20:00,0.33,01:00:00
CMOB,C4,1st,Thursday,6,Harston,Queens Close,CB22 7QW,monthly,543209.38,251373.33,13:45:00,14:20:00,00:35:00,00:35:00,0.58,00:05:00
CMOB,C4,1st,Thursday,7,Hauxton,The Green,CB22 5HP,monthly,544010.99,252062.63,14:30:00,15:00:00,00:30:00,00:30:00,0.50,00:10:00
CMOB,C4,1st,Thursday,8,Trumpington,"Foster Road, Pavilion",CB2 9JT,monthly,544737.52,254838.98,15:15:00,16:00:00,00:45:00,00:45:00,0.75,00:15:00
CMOB,C5,1st,Friday,1,Cambridge,Storeys House,CB3 0BZ,monthly,544368.74,259165.21,09:45:00,10:15:00,00:30:00,00:30:00,0.50,17:45:00
CMOB,C5,1st,Friday,2,Barton,Roman Hill,CB23 7AX,monthly,541420.83,255657.43,10:35:00,10:55:00,00:20:00,00:20:00,0.33,00:20:00
CMOB,C5,1st,Friday,3,Barton,Kings Grove,CB23 7AZ,monthly,540891.27,256008.47,11:00:00,11:40:00,00:40:00,00:40:00,0.67,00:05:00
CMOB,C5,1st,Friday,4,Barton,Great Close,CB23 7BH,monthly,540733.62,255636.94,11:45:00,12:05:00,00:20:00,00:20:00,0.33,00:05:00
CMOB,C5,1st,Friday,5,Barton,Allens Close,CB23 7BL,monthly,540919.13,255656.02,12:10:00,12:30:00,00:20:00,00:20:00,0.33,00:05:00
