day,community,stop,arrival,departure,start,latitude,longitude
Monday,Robin Hoods Bay,Station Road Coach and Car Park,10:00,12:00,2020-01-13,54.435823,-0.536960
Monday,Sleights,Coach park,13:30,15:30,2020-01-13,54.460489,-0.663082
Monday,Rosedale,Telephone kiosk,17:00,19:00,2020-01-13,54.353577,-0.887359
Tuesday,Eggborough,Horse and Jockey,10:30,12:30,2020-01-14,53.705505,-1.149200
Tuesday,Kirk Smeaton,Shoulder of Mutton,14:00,16:00,2020-01-14,53.643745,-1.215872
Thursday,Osmotherley,Oswaldene estate,10:00,12:00,2020-01-16,54.368740,-1.303647
Thursday,Cowling,Methodist Church Hall,15:00,17:00,2020-01-16,53.884717,-2.039758
Friday,Sheriff Hutton,Village Hall,10:00,12:00,2020-01-17,54.087411,-1.009158
Friday,Slingsby,The Green,14:00,16:00,2020-01-17,54.165017,-0.933045
Monday,Weaverthorpe,Opposite Village Hall,10:30,12:30,2020-01-06,54.124083,-0.529451
Monday,Sherburn,Village Hall,14:00,16:00,2020-01-06,54.181773,-0.530053
Monday,Hovingham,Hall Green,17:00,19:00,2020-01-06,54.172378,-0.979590
Tuesday,Balne,Thorntree Lane Crossroads,10:30,12:30,2020-01-07,53.664863,-1.113070
Tuesday,Brotherton,United Reformed Church,14:00,16:00,2020-01-07,53.728006,-1.270365
Wednesday,Buckden,National Parks coach and car park,10:30,12:30,2020-01-08,54.192196,-2.089754
Wednesday,Kettlewell,National Parks coach and car park,14:00,16:00,2020-01-08,54.146445,-2.050708
Thursday,Danby,Village Hall,10:30,12:30,2020-01-09,54.468003,-0.908934
Thursday,Castleton,Ashfield Road/Church Street,14:00,16:00,2020-01-09,54.462948,-0.937803
Thursday,Staithes,Car and coach park,17:00,19:00,2020-01-09,54.556025,-0.792846
Saturday,Hunmanby,White Swan,10:00,12:00,2020-01-11,54.180957,-0.323404
